sen	Polarity	Sentence
compound	-0.6908	🔥 Mi A is only right now limited 🔥 When cost a soul I think I will be switching to android for my next phone .
neg	0.271	🔥 Mi A is only right now limited 🔥 When cost a soul I think I will be switching to android for my next phone .
neu	0.729	🔥 Mi A is only right now limited 🔥 When cost a soul I think I will be switching to android for my next phone .
neu	1.0	Apple getting more expensive I bought mi a and here ' s my experience .
neu	1.0	comment on ever !
neu	1.0	I bought version days ago I know it was n ' t a long time ago , but these are my .
compound	0.6369	is the best thing about this phone .
neu	0.588	is the best thing about this phone .
pos	0.412	is the best thing about this phone .
compound	0.4019	It is a part of android one program you get latest , plus it clean android , which you get all , , phone , calculator , , originally from , and some which you do n ' t need to use or you can them .
neu	0.924	It is a part of android one program you get latest , plus it clean android , which you get all , , phone , calculator , , originally from , and some which you do n ' t need to use or you can them .
pos	0.076	It is a part of android one program you get latest , plus it clean android , which you get all , , phone , calculator , , originally from , and some which you do n ' t need to use or you can them .
compound	0.4201	In - design is mostly , I really like it .
neu	0.682	In - design is mostly , I really like it .
pos	0.318	In - design is mostly , I really like it .
compound	0.4927	Camera is very good , especially the front camera .
neu	0.687	Camera is very good , especially the front camera .
pos	0.313	Camera is very good , especially the front camera .
compound	0.5704	I ' m not an person , but for an average user this camera is more than enough , I really like it .
neu	0.813	I ' m not an person , but for an average user this camera is more than enough , I really like it .
pos	0.187	I ' m not an person , but for an average user this camera is more than enough , I really like it .
compound	0.5719	Performance is excellent so far .
neu	0.519	Performance is excellent so far .
pos	0.481	Performance is excellent so far .
compound	0.1779	I do n ' t play heavy , but I think it should handle it .
neu	0.825	I do n ' t play heavy , but I think it should handle it .
pos	0.175	I do n ' t play heavy , but I think it should handle it .
compound	0.5994	For messenger , a lot , , and basic stuff , it ' s super fast .
neu	0.672	For messenger , a lot , , and basic stuff , it ' s super fast .
pos	0.328	For messenger , a lot , , and basic stuff , it ' s super fast .
neu	1.0	Battery ...
neu	1.0	I need to charge it every day .
neu	1.0	I charge it when I come back from school , then I go to school again and when I come back around it about % left .
compound	0.4215	I currently use it all day everyday because I just got a new phone , I ' m not just gon na leave it laying around 😁 .
neg	0.046	I currently use it all day everyday because I just got a new phone , I ' m not just gon na leave it laying around 😁 .
neu	0.84	I currently use it all day everyday because I just got a new phone , I ' m not just gon na leave it laying around 😁 .
pos	0.115	I currently use it all day everyday because I just got a new phone , I ' m not just gon na leave it laying around 😁 .
compound	-0.2023	My phone was a and I remember the battery was acting strange in the beginning , so I expect the battery to be after a few .
neg	0.083	My phone was a and I remember the battery was acting strange in the beginning , so I expect the battery to be after a few .
neu	0.917	My phone was a and I remember the battery was acting strange in the beginning , so I expect the battery to be after a few .
neu	1.0	I charge it around an hour and a half with the airplane mode on .
compound	0.3612	If I use it heavily after school , like I am doing right now , I juice it up for about min before I go to bed .
neu	0.889	If I use it heavily after school , like I am doing right now , I juice it up for about min before I go to bed .
pos	0.111	If I use it heavily after school , like I am doing right now , I juice it up for about min before I go to bed .
compound	-0.6542	Reading what I just said me think the battery is crap , but I just do n ' t have a problem with it yet .
neg	0.251	Reading what I just said me think the battery is crap , but I just do n ' t have a problem with it yet .
neu	0.749	Reading what I just said me think the battery is crap , but I just do n ' t have a problem with it yet .
compound	-0.296	There is no .
neg	0.524	There is no .
neu	0.476	There is no .
neu	1.0	audio jack , but you get a so you can plug them in , but you ca n ' t charge it and listen to music at the same time .
compound	0.7992	I thought it will be a problem , but now when I got the phone I ' m perfectly fine with it .
neg	0.085	I thought it will be a problem , but now when I got the phone I ' m perfectly fine with it .
